,Image,Accuracy,F1,Jaccard,Recall,Precision
0,0001_46_original,0.973785400390625,0.0,0.0,1.0,0.0
1,0002_151_original,0.9508323669433594,0.0,0.0,1.0,0.0
2,0003_139_original,0.9986114501953125,0.0,0.0,1.0,0.0
3,0008_133_original,0.9954147338867188,0.0,0.0,0.0,0.0
4,0011_93_original,0.9307861328125,0.07011070110701106,0.036328871892925434,0.9985401459854014,0.03633080150847188
5,0019_10_original,0.9028358459472656,0.342361415920064,0.20653562194324165,0.9813499111900533,0.2073494917904613
6,0024_24_original,0.9929351806640625,0.8635224760501106,0.7598236285825444,0.9792746113989638,0.7722419928825622
7,0026_56_original,0.908447265625,0.4710394075641365,0.30807818716485036,0.9857024259754635,0.30946106397150386
8,0028_140_original,0.9425811767578125,0.612301669070678,0.4412354295047888,0.9890164752870694,0.44340819219577704
9,0030_99_original,0.9925689697265625,0.8794703625788888,0.7848702374378796,0.9903846153846154,0.7908969508123748
10,0031_136_original,0.9570159912109375,0.7049334869592542,0.5443222258168877,0.9908716136631331,0.5470655178019834
11,0031_61_original,0.9867439270019531,0.8055508925074143,0.6744120678347232,0.9891438779716917,0.6794411931281857
12,0032_64_original,0.9680099487304688,0.6319992978760751,0.461987553730673,0.9931043993931872,0.4634742871854283
13,0034_63_original,0.9966659545898438,0.9402270551224182,0.8871966959215282,0.9726899674543653,0.9098610191925877
14,0034_89_original,0.972686767578125,0.8089137977048305,0.6791395922025544,0.9928590146750524,0.6824732054399711
15,0039_6_original,0.9410324096679688,0.6981331042024683,0.5362553625536255,0.9834938101788171,0.5411255411255411
16,0040_29_original,0.9962120056152344,0.9512638036809816,0.9070572819168851,0.9882724862329186,0.9169268615763081
17,0046_141_original,0.9417648315429688,0.7580282136630211,0.6103425391801521,0.9852492789451999,0.6159711488923235
18,0050_52_original,0.9893035888671875,0.9207999096147328,0.8532244556113903,0.9987133141351633,0.8541633915002882
19,0055_28_original,0.9878463745117188,0.9449341491237166,0.8956162767839592,0.9898251077235036,0.9039383618266592
20,0055_80_original,0.9932403564453125,0.9574917238401381,0.9184499976989277,0.9953615960099751,0.9223978554261416
21,0056_47_original,0.9923057556152344,0.9649479519663556,0.9322699798522498,0.9965183058147882,0.9353165111343194
22,0064_123_original,0.998687744140625,0.9924355704107661,0.9849847228284592,0.9884362680683312,0.9964673673054845
23,0066_102_original,0.9989089965820312,0.9935906055309041,0.9872628484902467,0.9903060084878267,0.9968970634528039
24,0067_20_original,0.9983787536621094,0.9903279397373751,0.9808411846909796,0.9808854025786674,0.9999540420056069
25,0068_144_original,0.989959716796875,0.9573778986915403,0.9182405566600398,0.9741950367465313,0.9411315228119329
26,0068_17_original,0.9990196228027344,0.9941330898299281,0.9883346193999365,0.989682287168765,0.9986241056686846
27,0073_118_original,0.9976844787597656,0.9852127944651514,0.9708565392740541,0.9764825188333012,0.9941005850253183
28,0074_149_original,0.982421875,0.9337569362583019,0.8757449103411082,0.9707957194954265,0.8994405671873269
29,0077_114_original,0.9977607727050781,0.9850121281756671,0.9704668947474341,0.9821283095723015,0.9879129321382842
30,0078_48_original,0.997344970703125,0.9816639443595553,0.9639882030320277,0.9655869396216636,0.9982853774848631
31,0079_22_original,0.997589111328125,0.9829732205398998,0.9665165562913908,0.968157936634294,0.9982489740082079
32,0080_152_original,0.9974441528320312,0.9812398499187993,0.9631706244503079,0.9638063806380638,0.9993156153758412
33,0082_106_original,0.9972496032714844,0.9786490568272677,0.9581907799362134,0.9848024316109423,0.9725721012360212
34,0085_91_original,0.9959373474121094,0.9838956011552827,0.9683016846240847,0.9932527324906881,0.9747131258051952
35,0085_92_original,0.9961280822753906,0.9666107437744663,0.9353791303240593,0.9724649192480805,0.9608266300438166
